Espécie	Nome Popular	Guilda	Habitat	Descrição	Na Tabela
Phylloscartes difficilis	estalinho	Ihering & Ihering	1907	Passeriformes	Rhynchocyclidae	✓
Phylloscartes eximius	barbudinho	Temminck	1822	Passeriformes	Rhynchocyclidae	✓
Phylloscartes kronei	maria-da-restinga	Willis & Schuchmann	1993	Passeriformes	Rhynchocyclidae	✓
Phylloscartes oustaleti	papa-moscas-de-olheiras	Sclater	1887	Passeriformes	Rhynchocyclidae	✓
Phylloscartes sylviolus	maria-pequena	Cabanis & Heine	1859	Passeriformes	Rhynchocyclidae	✓
Phylloscartes ventralis	borboletinha-do-mato	Temminck & Laugier	1828	Passeriformes	Rhynchocyclidae	✓
Piaya cayana	alma-de-gato	Linnaeus	1766	Cuculiformes	Cuculidae	✓
Piculus aurulentus	pica-pau-dourado	Temminck	1821	Piciformes	Picidae	✓
Piculus flavigula	pica-pau-bufador	Gmelin	1788	Piciformes	Picidae	✓
Picumnus nebulosus	picapauzinho-carijó	Sundevall	1866	Piciformes	Picidae	✓
Picumnus temminckii	picapauzinho-de-coleira	Lafresnaye	1845	Piciformes	Picidae	✓
Pilherodius pileatus	garça-real	Boddaert	1783	Pelecaniformes	Ardeidae	✓
Pionopsitta pileata	cuiú-cuiú	Scopoli	1769	Psittaciformes	Psittacidae	✓
Pionus maximiliani	maitaca-verde	Kuhl	1820	Psittaciformes	Psittacidae	✓
Pipraeidea melanonota	saíra-viúva	Vieillot	1819	Passeriformes	Thraupidae	✓
Piprites chloris	papinho-amarelo	Temminck	1822	Passeriformes	Pipritidae	✓
Piprites pileata	caneleirinho-de-chapéu-preto	Temminck	1822	Passeriformes	Pipritidae	✓
Piranga flava	sanhaço-de-fogo	Vieillot	1822	Passeriformes	Cardinalidae	✓
Pitangus sulphuratus	bem-te-vi	Linnaeus	1766	Passeriformes	Tyrannidae	✓
Platalea ajaja	colhereiro	Linnaeus	1758	Pelecaniformes	Threskiornithidae	✓
Platyrinchus leucoryphus	patinho-de-asa-castanha	Wied	1831	Passeriformes	Platyrinchidae	✓
Platyrinchus mystaceus	patinho	Vieillot	1818	Passeriformes	Platyrinchidae	✓
Plegadis chihi	caraúna	Vieillot	1817	Pelecaniformes	Threskiornithidae	✓
Pluvialis dominica	batuiruçu	Statius Muller	1776	Charadriiformes	Charadriidae	✓
Pluvialis squatarola	batuiruçu-de-axila-preta	Linnaeus	1758	Charadriiformes	Charadriidae	✓
Podager nacunda	corucão	Vieillot	1817	Caprimulgiformes	Caprimulgidae	✓
Podicephorus major	mergulhão-grande	Boddaert	1783	Podicipediformes	Podicipedidae	✓
Podilymbus podiceps	mergulhão-caçador	Linnaeus	1758	Podicipediformes	Podicipedidae	✓
Poecilotriccus plumbeiceps	tororó	Lafresnaye	1846	Passeriformes	Rhynchocyclidae	✓
Polioptila dumicola	balança-rabo-de-máscara	Vieillot	1817	Passeriformes	Polioptilidae	✓
Polioptila lactea	balança-rabo-leitoso	Sharpe	1885	Passeriformes	Polioptilidae	✓
Polystictus pectoralis	papa-moscas-canela	Vieillot	1817	Passeriformes	Tyrannidae	✓
Poospiza nigrorufa	quem-te-vestiu	d'Orbigny & Lafresnaye	1837	Passeriformes	Thraupidae	✓
Porphyrio flavirostris	frango-d'água-pequeno	Gmelin	1789	Gruiformes	Rallidae	✓
Porphyrio martinica	frango-d'água-azul	Linnaeus	1766	Gruiformes	Rallidae	✓
Porphyriops melanops	galinha-d'água-carijó	Vieillot	1819	Gruiformes	Rallidae	✓
Primolius maracana	maracanã	Vieillot	1816	Psittaciformes	Psittacidae	✓
Procellaria aequinoctialis	pardela-preta	Linnaeus	1758	Procellariiformes	Procellariidae	✓
Procellaria conspicillata	pardela-de-óculos	Gould	1844	Procellariiformes	Procellariidae	✓
Procnias nudicollis	araponga	Vieillot	1817	Passeriformes	Cotingidae	✓
Progne chalybea	andorinha-grande	Gmelin	1789	Passeriformes	Hirundinidae	✓
Progne elegans	andorinha-do-sul	Baird	1865	Passeriformes	Hirundinidae	✓
Progne subis	andorinha-azul	Linnaeus	1758	Passeriformes	Hirundinidae	✓
Progne tapera	andorinha-do-campo	Vieillot	1817	Passeriformes	Hirundinidae	✓
Pseudastur polionotus	gavião-pombo-grande	Kaup	1847	Accipitriformes	Accipitridae	✓
Pseudocolopteryx acutipennis	tricolino-oliváceo	Sclater & Salvin	1873	Passeriformes	Tyrannidae	✓
Pseudocolopteryx flaviventris	amarelinho-do-junco	d'Orbigny & Lafresnaye	1837	Passeriformes	Tyrannidae	✓
Pseudocolopteryx sclateri	tricolino	Oustalet	1892	Passeriformes	Tyrannidae	✓
Pseudoleistes guirahuro	chupim-do-brejo	Vieillot	1819	Passeriformes	Icteridae	✓
Pseudoleistes virescens	dragão	Vieillot	1819	Passeriformes	Icteridae	✓
Psilorhamphus guttatus	tapaculo-pintado	Ménétries	1835	Passeriformes	Rhinocryptidae	✓
Psittacara leucophthalmus	periquitão	Statius Muller	1776	Psittaciformes	Psittacidae	✓
Pterodroma incerta	grazina-de-barriga-branca	Schlegel	1863	Procellariiformes	Procellariidae	✓
Pterodroma mollis	grazina-delicada	Gould	1844	Procellariiformes	Procellariidae	✓
Pteroglossus bailloni	araçari-banana	Vieillot	1819	Piciformes	Ramphastidae	✓
Pteroglossus castanotis	araçari-castanho	Gould	1834	Piciformes	Ramphastidae	✓
Puffinus puffinus	pardela-sombria	Brünnich	1764	Procellariiformes	Procellariidae	✓
Pulsatrix koeniswaldiana	murucututu-de-barriga-amarela	Bertoni & Bertoni	1901	Strigiformes	Strigidae	✓
Pygochelidon cyanoleuca	andorinha-pequena-de-casa	Vieillot	1817	Passeriformes	Hirundinidae	✓
Pyriglena leucoptera	papa-taoca-do-sul	Vieillot	1818	Passeriformes	Thamnophilidae	✓
Pyrocephalus rubinus	príncipe	Boddaert	1783	Passeriformes	Tyrannidae	✓
Pyroderus scutatus	pavó	Shaw	1792	Passeriformes	Cotingidae	✓
Pyrrhura frontalis	tiriba-de-testa-vermelha	Vieillot	1817	Psittaciformes	Psittacidae	✓
Rallus longirostris	saracura-matraca	Boddaert	1783	Gruiformes	Rallidae	✓
Ramphastos dicolorus	tucano-de-bico-verde	Linnaeus	1766	Piciformes	Ramphastidae	✓
Ramphastos toco	tucanuçu	Statius Muller	1776	Piciformes	Ramphastidae	✓
Ramphastos vitellinus	tucano-de-bico-preto	Lichtenstein	1823	Piciformes	Ramphastidae	✓
Ramphocaenus melanurus	chirito	Vieillot	1819	Passeriformes	Polioptilidae	✓
Ramphocelus bresilia	tiê-sangue	Linnaeus	1766	Passeriformes	Thraupidae	✓
Ramphocelus carbo	pipira-vermelha	Pallas	1764	Passeriformes	Thraupidae	✓
Ramphodon naevius	beija-flor-rajado	Dumont	1818	Apodiformes	Trochilidae	✓
Ramphotrigon megacephalum	maria-cabeçuda	Swainson	1835	Passeriformes	Tyrannidae	✓
Rauenia bonariensis	sanhaço-papa-laranja	Gmelin	1789	Passeriformes	Thraupidae	✓
Rhea americana	ema	Linnaeus	1758	Rheiformes	Rheidae	✓
Rhopias gularis	choquinha-de-garganta-pintada	Spix	1825	Passeriformes	Thamnophilidae	✓
Rhopospina fruticeti	canário-andino-negro	Kittlitz	1833	Passeriformes	Thraupidae	✓
Rhynchotus rufescens	perdiz	Temminck	1815	Tinamiformes	Tinamidae	✓
Riparia riparia	andorinha-do-barranco	Linnaeus	1758	Passeriformes	Hirundinidae	✓
Rollandia rolland	mergulhão-de-orelha-branca	Quoy & Gaimard	1824	Podicipediformes	Podicipedidae	✓
Rostrhamus sociabilis	gavião-caramujeiro	Vieillot	1817	Accipitriformes	Accipitridae	✓
Rupornis magnirostris	gavião-carijó	Gmelin	1788	Accipitriformes	Accipitridae	✓
Rynchops niger	talha-mar	Linnaeus	1758	Charadriiformes	Laridae	✓
Saltator fuliginosus	bico-de-pimenta	Daudin	1800	Passeriformes	Thraupidae	✓
Saltator maxillosus	bico-grosso	Cabanis	1851	Passeriformes	Thraupidae	✓
Saltator similis	trinca-ferro	d'Orbigny & Lafresnaye	1837	Passeriformes	Thraupidae	✓
Sarcoramphus papa	urubu-rei	Linnaeus	1758	Cathartiformes	Cathartidae	✓
Sarkidiornis sylvicola	pato-de-crista	Ihering & Ihering	1907	Anseriformes	Anatidae	✓
Satrapa icterophrys	suiriri-pequeno	Vieillot	1818	Passeriformes	Tyrannidae	✓
Schiffornis virescens	flautim	Lafresnaye	1838	Passeriformes	Tityridae	✓
Schistochlamys ruficapillus	bico-de-veludo	Vieillot	1817	Passeriformes	Thraupidae	✓
Schoeniophylax phryganophilus	bichoita	Vieillot	1817	Passeriformes	Furnariidae	✓
Sclerurus scansor	vira-folha	Ménétries	1835	Passeriformes	Scleruridae	✓
Scytalopus iraiensis	tapaculo-da-várzea	Bornschein, Reinert & Pichorim	1998	Passeriformes	Rhinocryptidae	✓
Scytalopus pachecoi	tapaculo-ferreirinho	Maurício	2005	Passeriformes	Rhinocryptidae	✓
Scytalopus speluncae	tapaculo-preto	Ménétries	1835	Passeriformes	Rhinocryptidae	✓
Selenidera maculirostris	araçari-poca	Lichtenstein	1823	Piciformes	Ramphastidae	✓
Serpophaga griseicapilla	alegrinho-trinador	Straneck	2007	Passeriformes	Tyrannidae	✓
Serpophaga nigricans	joão-pobre	Vieillot	1817	Passeriformes	Tyrannidae	✓
Serpophaga subcristata	alegrinho	Vieillot	1817	Passeriformes	Tyrannidae	✓
Setophaga cerulea	mariquita-azul	Wilson	1810	Passeriformes	Parulidae	✓
Setophaga pitiayumi	mariquita	Vieillot	1817	Passeriformes	Parulidae	✓
Setophaga striata	mariquita-de-perna-clara	Forster	1772	Passeriformes	Parulidae	✓
Sicalis citrina	canário-rasteiro	Pelzeln & Sclater	1879	Passeriformes	Thraupidae	✓
Sicalis flaveola	canário-da-terra	Linnaeus	1766	Passeriformes	Thraupidae	✓
Sicalis luteola	tipio	Sparrman	1789	Passeriformes	Thraupidae	✓
Sirystes sibilator	gritador	Vieillot	1818	Passeriformes	Tyrannidae	✓
Sittasomus griseicapillus	arapaçu-verde	Vieillot	1818	Passeriformes	Dendrocolaptidae	✓
Spartonoica maluroides	boininha	d'Orbigny & Lafresnaye	1837	Passeriformes	Furnariidae	✓
Spatula cyanoptera	marreca-colorada	Vieillot	1816	Anseriformes	Anatidae	✓
Spatula discors	marreca-de-asa-azul	Linnaeus	1766	Anseriformes	Anatidae	✓
Spatula platalea	marreca-colhereira	Vieillot	1816	Anseriformes	Anatidae	✓
Spatula versicolor	marreca-cricri	Vieillot	1816	Anseriformes	Anatidae	✓
Spheniscus magellanicus	pinguim-de-magalhães	Forster	1781	Sphenisciformes	Spheniscidae	✓
Spinus magellanicus	pintassilgo	Vieillot	1805	Passeriformes	Fringillidae	✓
Spizaetus melanoleucus	gavião-pato	Vieillot	1816	Accipitriformes	Accipitridae	✓
Spizaetus ornatus	gavião-de-penacho	Daudin	1800	Accipitriformes	Accipitridae	✓
Spizaetus tyrannus	gavião-pega-macaco	Wied	1820	Accipitriformes	Accipitridae	✓
Sporophila angolensis	curió	Linnaeus	1766	Passeriformes	Thraupidae	✓
Sporophila beltoni	patativa-tropeira	Repenning & Fontana	2013	Passeriformes	Thraupidae	✓
Sporophila caerulescens	coleirinho	Vieillot	1817	Passeriformes	Thraupidae	✓
Sporophila cinnamomea	caboclinho-de-chapéu-cinzento	Lafresnaye	1839	Passeriformes	Thraupidae	✓
Sporophila collaris	coleiro-do-brejo	Boddaert	1783	Passeriformes	Thraupidae	✓
Sporophila falcirostris	cigarrinha-do-sul	Temminck	1820	Passeriformes	Thraupidae	✓
Sporophila frontalis	pixoxó	Verreaux	1869	Passeriformes	Thraupidae	✓
Sporophila hypoxantha	caboclinho-de-barriga-vermelha	Cabanis	1851	Passeriformes	Thraupidae	✓
Sporophila leucoptera	chorão	Vieillot	1817	Passeriformes	Thraupidae	✓
Sporophila lineola	bigodinho	Linnaeus	1758	Passeriformes	Thraupidae	✓
Sporophila melanogaster	caboclinho-de-barriga-preta	Pelzeln	1870	Passeriformes	Thraupidae	✓
Sporophila palustris	caboclinho-de-papo-branco	Barrows	1883	Passeriformes	Thraupidae	✓
Sporophila pileata	caboclinho-coroado	Sclater	1864	Passeriformes	Thraupidae	✓
Sporophila ruficollis	caboclinho-de-papo-escuro	Cabanis	1851	Passeriformes	Thraupidae	✓
Stelgidopteryx ruficollis	andorinha-serradora	Vieillot	1817	Passeriformes	Hirundinidae	✓
Stephanophorus diadematus	sanhaço-frade	Temminck	1823	Passeriformes	Thraupidae	✓
Stephanoxis loddigesii	beija-flor-de-topete-azul	Gould	1831	Apodiformes	Trochilidae	✓
Stercorarius antarcticus	mandrião-antártico	Lesson	1831	Charadriiformes	Stercorariidae	✓
Stercorarius chilensis	mandrião-chileno	Bonaparte	1857	Charadriiformes	Stercorariidae	✓
Stercorarius longicaudus	mandrião-de-cauda-comprida	Vieillot	1819	Charadriiformes	Stercorariidae	✓
Stercorarius maccormicki	mandrião-do-sul	Saunders	1893	Charadriiformes	Stercorariidae	✓
Stercorarius parasiticus	mandrião-parasítico	Linnaeus	1758	Charadriiformes	Stercorariidae	✓
Stercorarius pomarinus	mandrião-pomarino	Temminck	1815	Charadriiformes	Stercorariidae	✓
Sterna hirundinacea	trinta-réis-de-bico-vermelho	Lesson	1831	Charadriiformes	Laridae	✓
Sterna hirundo	trinta-réis-boreal	Linnaeus	1758	Charadriiformes	Laridae	✓
Sterna trudeaui	trinta-réis-de-coroa-branca	Audubon	1838	Charadriiformes	Laridae	✓
Sternula antillarum	trinta-réis-miúdo	Lesson	1847	Charadriiformes	Laridae	✓
Sternula superciliaris	trinta-réis-pequeno	Vieillot	1819	Charadriiformes	Laridae	✓
Stilpnia peruviana	saíra-sapucaia	Desmarest	1806	Passeriformes	Thraupidae	✓
Stilpnia preciosa	saíra-preciosa	Cabanis	1851	Passeriformes	Thraupidae	✓
Streptoprocne biscutata	taperuçu-de-coleira-falha	Sclater	1866	Apodiformes	Apodidae	✓
Streptoprocne zonaris	taperuçu-de-coleira-branca	Shaw	1796	Apodiformes	Apodidae	✓
Strix huhula	coruja-preta	Daudin	1800	Strigiformes	Strigidae	✓
Strix hylophila	coruja-listrada	Temminck	1825	Strigiformes	Strigidae	✓
Strix virgata	coruja-do-mato	Cassin	1849	Strigiformes	Strigidae	✓
Sturnus vulgaris	estorninho	Linnaeus	1758	Passeriformes	Sturnidae	✓
Sula leucogaster	atobá-pardo	Boddaert	1783	Suliformes	Sulidae	✓
Synallaxis albescens	uí-pi	Temminck	1823	Passeriformes	Furnariidae	✓
Synallaxis cinerascens	pi-puí	Temminck	1823	Passeriformes	Furnariidae	✓
Synallaxis frontalis	petrim	Pelzeln	1859	Passeriformes	Furnariidae	✓
Synallaxis ruficapilla	pichororé	Vieillot	1819	Passeriformes	Furnariidae	✓
Synallaxis spixi	joão-teneném	Sclater	1856	Passeriformes	Furnariidae	✓
Syndactyla rufosuperciliata	trepador-quiete	Lafresnaye	1832	Passeriformes	Furnariidae	✓
Syrigma sibilatrix	maria-faceira	Temminck	1824	Pelecaniformes	Ardeidae	✓
Tachuris rubrigastra	papa-piri	Vieillot	1817	Passeriformes	Tachurisidae	✓
Tachybaptus dominicus	mergulhão-pequeno	Linnaeus	1766	Podicipediformes	Podicipedidae	✓
Tachycineta albiventer	andorinha-do-rio	Boddaert	1783	Passeriformes	Hirundinidae	✓
Tachycineta leucopyga	andorinha-chilena	Meyen	1834	Passeriformes	Hirundinidae	✓
Tachycineta leucorrhoa	andorinha-de-sobre-branco	Vieillot	1817	Passeriformes	Hirundinidae	✓
Tachyphonus coronatus	tiê-preto	Vieillot	1822	Passeriformes	Thraupidae	✓
Tangara cyanocephala	saíra-militar	Statius Muller	1776	Passeriformes	Thraupidae	✓
Tangara desmaresti	saíra-lagarta	Vieillot	1819	Passeriformes	Thraupidae	✓
Tangara seledon	saíra-sete-cores	Statius Muller	1776	Passeriformes	Thraupidae	✓
Tapera naevia	saci	Linnaeus	1766	Cuculiformes	Cuculidae	✓
Terenura maculata	zidedê	Wied	1831	Passeriformes	Thamnophilidae	✓
Tersina viridis	saí-andorinha	Illiger	1811	Passeriformes	Thraupidae	✓
Thalassarche chlororhynchos	albatroz-de-nariz-amarelo	Gmelin	1789	Procellariiformes	Diomedeidae	✓
Thalassarche chrysostoma	albatroz-de-cabeça-cinza	Forster	1785	Procellariiformes	Diomedeidae	✓
Thalassarche melanophris	albatroz-de-sobrancelha	Temminck	1828	Procellariiformes	Diomedeidae	✓
Thalasseus acuflavidus	trinta-réis-de-bando	Cabot	1847	Charadriiformes	Laridae	✓
Thalasseus maximus	trinta-réis-real	Boddaert	1783	Charadriiformes	Laridae	✓
Thalurania glaucopis	beija-flor-de-fronte-violeta	Gmelin	1788	Apodiformes	Trochilidae	✓
Thamnophilus caerulescens	choca-da-mata	Vieillot	1816	Passeriformes	Thamnophilidae	✓
Thamnophilus doliatus	choca-barrada	Linnaeus	1764	Passeriformes	Thamnophilidae	✓
Thamnophilus ruficapillus	choca-de-chapéu-vermelho	Vieillot	1816	Passeriformes	Thamnophilidae	✓
Theristicus caerulescens	curicaca-real	Vieillot	1817	Pelecaniformes	Threskiornithidae	✓
Theristicus caudatus	curicaca	Boddaert	1783	Pelecaniformes	Threskiornithidae	✓
Thinocorus rumicivorus	agachadeira-mirim	Eschscholtz	1829	Charadriiformes	Thinocoridae	✓
Thlypopsis pyrrhocoma	cabecinha-castanha	Cabanis	1851	Passeriformes	Thraupidae	✓
Thlypopsis sordida	saí-canário	d'Orbigny & Lafresnaye	1837	Passeriformes	Thraupidae	✓
Thraupis cyanoptera	sanhaço-de-encontro-azul	Vieillot	1817	Passeriformes	Thraupidae	✓
Thraupis ornata	sanhaço-de-encontro-amarelo	Sparrman	1789	Passeriformes	Thraupidae	✓
Thraupis palmarum	sanhaço-do-coqueiro	Wied	1823	Passeriformes	Thraupidae	✓
Thraupis sayaca	sanhaço-cinzento	Linnaeus	1766	Passeriformes	Thraupidae	✓
Tigrisoma fasciatum	socó-jararaca	Such	1825	Pelecaniformes	Ardeidae	✓
Tigrisoma lineatum	socó-boi	Boddaert	1783	Pelecaniformes	Ardeidae	✓
Tinamus solitarius	macuco	Vieillot	1819	Tinamiformes	Tinamidae	✓
Tityra cayana	anambé-branco-de-rabo-preto	Linnaeus	1766	Passeriformes	Tityridae	✓
Tityra inquisitor	anambé-branco-de-bochecha-parda	Lichtenstein	1823	Passeriformes	Tityridae	✓
Tityra semifasciata	anambé-branco-de-máscara-negra	Spix	1825	Passeriformes	Tityridae	✓
Todirostrum cinereum	ferreirinho-relógio	Linnaeus	1766	Passeriformes	Rhynchocyclidae	✓
Todirostrum poliocephalum	teque-teque	Wied	1831	Passeriformes	Rhynchocyclidae	✓
Tolmomyias sulphurescens	bico-chato-de-orelha-preta	Spix	1825	Passeriformes	Rhynchocyclidae	✓
Touit melanonotus	apuim-de-costas-pretas	Wied	1820	Psittaciformes	Psittacidae	✓
Trichothraupis melanops	tiê-de-topete	Vieillot	1818	Passeriformes	Thraupidae	✓
Triclaria malachitacea	sabiá-cica	Spix	1824	Psittaciformes	Psittacidae	✓
Tringa flavipes	maçarico-de-perna-amarela	Gmelin	1789	Charadriiformes	Scolopacidae	✓
Tringa inornata	maçarico-grande-de-asa-branca	Vieillot	1816	Charadriiformes	Scolopacidae	✓
Tringa melanoleuca	maçarico-grande-de-perna-amarela	Gmelin	1789	Charadriiformes	Scolopacidae	✓
Tringa semipalmata	maçarico-de-asa-branca	Gmelin	1789	Charadriiformes	Scolopacidae	✓
Tringa solitaria	maçarico-solitário	Wilson	1813	Charadriiformes	Scolopacidae	✓
Troglodytes musculus	corruíra	Naumann	1823	Passeriformes	Troglodytidae	✓
Trogon chrysochloros	surucuá-dourado	Pelzeln	1856	Trogoniformes	Trogonidae	✓
Trogon surrucura	surucuá-variado	Vieillot	1817	Trogoniformes	Trogonidae	✓
Trogon viridis	surucuá-de-barriga-amarela	Linnaeus	1766	Trogoniformes	Trogonidae	✓
Turdus albicollis	sabiá-coleira	Vieillot	1818	Passeriformes	Turdidae	✓
Turdus amaurochalinus	sabiá-poca	Cabanis	1850	Passeriformes	Turdidae	✓
Turdus flavipes	sabiá-una	Vieillot	1818	Passeriformes	Turdidae	✓
Turdus leucomelas	sabiá-barranco	Vieillot	1818	Passeriformes	Turdidae	✓
Turdus rufiventris	sabiá-laranjeira	Vieillot	1818	Passeriformes	Turdidae	✓
Turdus subalaris	sabiá-ferreiro	Seebohm	1887	Passeriformes	Turdidae	✓
Tyranniscus burmeisteri	piolhinho-chiador	Cabanis & Heine	1859	Passeriformes	Tyrannidae	✓
Tyrannus albogularis	suiriri-de-garganta-branca	Burmeister	1856	Passeriformes	Tyrannidae	✓
Tyrannus melancholicus	suiriri	Vieillot	1819	Passeriformes	Tyrannidae	✓
Tyrannus savana	tesourinha	Vieillot	1808	Passeriformes	Tyrannidae	✓
Tyrannus tyrannus	suiriri-valente	Linnaeus	1758	Passeriformes	Tyrannidae	✓
Tyto furcata	suindara	Temminck	1827	Strigiformes	Tytonidae	✓
Urubitinga coronata	águia-cinzenta	Vieillot	1817	Accipitriformes	Accipitridae	✓
Urubitinga urubitinga	gavião-preto	Gmelin	1788	Accipitriformes	Accipitridae	✓
Vanellus chilensis	quero-quero	Molina	1782	Charadriiformes	Charadriidae	✓
Veniliornis spilogaster	pica-pau-verde-carijó	Wagler	1827	Piciformes	Picidae	✓
Vireo chivi	juruviara	Vieillot	1817	Passeriformes	Vireonidae	✓
Volatinia jacarina	tiziu	Linnaeus	1766	Passeriformes	Thraupidae	✓
Xanthopsar flavus	veste-amarela	Gmelin	1788	Passeriformes	Icteridae	✓
Xenops minutus	bico-virado-miúdo	Sparrman	1788	Passeriformes	Xenopidae	✓
Xenops rutilans	bico-virado-carijó	Temminck	1821	Passeriformes	Xenopidae	✓
Xiphocolaptes albicollis	arapaçu-de-garganta-branca	Vieillot	1818	Passeriformes	Dendrocolaptidae	✓
Xiphorhynchus fuscus	arapaçu-rajado	Vieillot	1818	Passeriformes	Dendrocolaptidae	✓
Xolmis irupero	noivinha	Vieillot	1823	Passeriformes	Tyrannidae	✓
Xolmis velatus	noivinha-branca	Lichtenstein	1823	Passeriformes	Tyrannidae	✓
Zenaida auriculata	avoante	Des Murs	1847	Columbiformes	Columbidae	✓
Zonotrichia capensis	tico-tico	Statius Muller	1776	Passeriformes	Passerellidae	✓

